,x,y,xG,result,team,minute,player
0,0.8580000305175781,0.3160000038146973,0.06673942506313324,MissedShots,Real Madrid,4,Rodrygo
1,0.825999984741211,0.6469999694824219,0.04130825400352478,SavedShot,Real Madrid,6,Federico Valverde
2,0.84,0.67,0.03379613161087036,SavedShot,Real Madrid,13,Vinícius Júnior
3,0.7390000152587891,0.3840000152587891,0.02124866656959057,BlockedShot,Real Madrid,19,Rodrygo
4,0.9290000152587891,0.3370000076293945,0.06032027304172516,BlockedShot,Real Madrid,58,Mariano
5,0.775,0.615999984741211,0.02533126063644886,BlockedShot,Real Madrid,59,Federico Valverde
6,0.89,0.6329999923706054,0.09863298386335373,SavedShot,Real Madrid,60,Rodrygo
7,0.78,0.595999984741211,0.02360074408352375,BlockedShot,Real Madrid,64,Vinícius Júnior
8,0.7190000152587891,0.485,0.013330704532563686,MissedShots,Real Madrid,65,Casemiro
9,0.8930000305175781,0.634000015258789,0.0836714506149292,MissedShots,Real Madrid,76,Marco Asensio
10,0.8880000305175781,0.710999984741211,0.04434455186128616,SavedShot,Real Madrid,78,David Alaba
11,0.7119999694824218,0.44599998474121094,0.010797145776450634,MissedShots,Real Madrid,82,Federico Valverde
12,0.9169999694824219,0.47900001525878905,0.08016470074653625,MissedShots,Real Madrid,84,Lucas Vázquez
13,0.7630000305175781,0.5779999923706055,0.024498552083969116,BlockedShot,Real Madrid,92,Luka Modric
14,0.8519999694824218,0.5629999923706055,0.025366153568029404,MissedShots,Barcelona,0,Ferrán Torres
15,0.9130000305175782,0.524000015258789,0.49281445145606995,SavedShot,Barcelona,11,Pierre-Emerick Aubameyang
16,0.875,0.295,0.04107682779431343,SavedShot,Barcelona,11,Ousmane Dembélé
17,0.769000015258789,0.6229999923706054,0.024538425728678703,MissedShots,Barcelona,17,Ferrán Torres
18,0.909000015258789,0.5870000076293945,0.08865337818861008,BlockedShot,Barcelona,23,Ferrán Torres
19,0.9680000305175781,0.47299999237060547,0.6225379109382629,Goal,Barcelona,28,Pierre-Emerick Aubameyang
20,0.88,0.629000015258789,0.09345453977584839,SavedShot,Barcelona,34,Pierre-Emerick Aubameyang
21,0.9330000305175781,0.2989999961853027,0.05948997288942337,BlockedShot,Barcelona,36,Ousmane Dembélé
22,0.93,0.49400001525878906,0.06599454581737518,Goal,Barcelona,37,Ronald Araújo
23,0.855999984741211,0.5540000152587891,0.43152642250061035,MissedShots,Barcelona,45,Ferrán Torres
24,0.8780000305175781,0.5470000076293945,0.4036777913570404,Goal,Barcelona,46,Ferrán Torres
25,0.89,0.5520000076293945,0.45177048444747925,Goal,Barcelona,50,Pierre-Emerick Aubameyang
26,0.915,0.4540000152587891,0.5238223671913147,MissedShots,Barcelona,57,Pierre-Emerick Aubameyang
27,0.9219999694824219,0.44,0.1142658069729805,SavedShot,Barcelona,60,Pierre-Emerick Aubameyang
28,0.905,0.3609999847412109,0.10482165962457657,SavedShot,Barcelona,63,Ferrán Torres
29,0.9069999694824219,0.5120000076293946,0.5840687155723572,MissedShots,Barcelona,72,Ousmane Dembélé
30,0.8880000305175781,0.38,0.08659662306308746,SavedShot,Barcelona,77,Memphis Depay
31,0.860999984741211,0.30700000762939456,0.04535357281565666,BlockedShot,Barcelona,92,Adama Traoré
